ID,item_cnt_month
0,0.4311115
1,0.42078593
2,0.90115535
3,0.53445584
4,4.016284
5,0.47070253
6,0.6801476
7,0.14551488
8,0.6201386
9,0.93635005
10,2.2194924
11,0.049531013
12,0.13876036
13,0.36323434
14,1.6960818
15,2.2634966
16,0.054376036
17,0.15361008
18,0.94398135
19,0.29704368
20,0.40768886
21,0.22737163
22,1.674424
23,0.49019828
24,1.2639477
25,0.5477247
26,0.3744809
27,0.6951879
28,1.0744884
29,3.7235987
30,0.93290806
31,0.7051783
32,0.9447763
33,1.1641173
34,0.07431519
35,0.08112264
36,0.06785706
37,1.1048493
38,0.17463648
39,0.120993644
40,0.7553054
41,1.6916662
42,3.9395509
43,3.6228137
44,1.0872614
45,0.30795127
46,0.93314207
47,0.34447488
48,0.54366183
49,0.7354268
50,1.197808
51,0.44991124
52,0.5017498
53,0.4223432
54,4.7514553
55,2.9506466
56,0.8457475
57,1.145004
58,3.5899239
59,2.4344652
60,4.25667
61,0.27686283
62,0.16361529
63,0.3498616
64,4.235035
65,0.50719
66,0.47924158
67,0.049576253
68,0.30233625
69,0.05899328
70,0.50719
71,1.8094044
72,0.20133671
73,0.7274827
74,4.8193264
75,6.7684608
76,0.30404258
77,4.2471533
78,0.45652565
79,0.78003013
80,1.3019905
81,1.8014034
82,1.0258908
83,0.18914428
84,1.0717493
85,0.8906064
86,0.53893524
87,0.02915442
88,2.2489462
89,0.8960682
90,0.7583969
91,0.6781983
92,1.8716371
93,0.07645568
94,0.5278248
95,0.018538594
96,0.049405634
97,0.3577066
98,0.5412122
99,1.4042751
100,1.0325439
101,0.9223815
102,0.32141316
103,0.87155604
104,0.13228726
105,0.6936869
106,0.4679803
107,0.79823303
108,0.13799256
109,0.50719
110,0.28371647
111,0.87992823
112,0.94832426
113,1.1843886
114,0.14718035
115,0.33420128
116,0.40691566
117,0.07396889
118,7.6687207
119,0.106361836
120,0.09794554
121,0.10711616
122,0.4121328
123,0.37495288
124,0.5260222
125,0.88589376
126,0.51711667
127,0.12314901
128,0.3359154
129,0.27934527
130,0.37947625
131,0.029737294
132,1.0191383
133,3.2851124
134,0.084466666
135,1.9477319
136,0.66981834
137,0.5161555
138,1.8832947
139,1.2847785
140,0.23752481
141,0.38060388
142,0.09165341
143,0.43203562
144,0.30973506
145,0.30973506
146,0.30973506
147,0.055437505
148,0.3643934
149,0.089425445
150,0.061909348
151,0.46259612
152,4.418764
153,0.3048063
154,0.06515765
155,0.14485377
156,0.1941061
157,0.26651493
158,0.09287694
